job_id,job title,company,category,job description
1001,Senior Software Engineer,TechNova Solutions,INFORMATION-TECHNOLOGY,"We are looking for a Senior Software Engineer to design and build scalable backend services. You will architect microservices, mentor junior engineers, and drive best practices across the team.

Responsibilities:
• Design, develop, and maintain high-quality software using Python and Java
• Build RESTful APIs and microservices with Flask, FastAPI, or Spring Boot
• Write clean, well-tested code with comprehensive unit and integration tests
• Participate in code reviews and provide constructive feedback
• Collaborate with product managers and designers to define features
• Optimize application performance and troubleshoot production issues

Requirements:
• 5+ years of professional software development experience
• Proficiency in Python and/or Java
• Experience with SQL databases (PostgreSQL, MySQL) and NoSQL (MongoDB)
• Familiarity with Docker, Kubernetes, and CI/CD pipelines
• Strong understanding of data structures, algorithms, and design patterns
• Experience with cloud platforms (AWS, Azure, or GCP)
• Excellent communication and teamwork skills

Nice to have: Experience with TypeScript, React.js, or Node.js"
1002,Junior Software Developer,CodeCraft Inc.,INFORMATION-TECHNOLOGY,"CodeCraft Inc. is hiring a Junior Software Developer to join our agile team. This is a great opportunity for recent graduates looking to launch their career.

Responsibilities:
• Write and maintain code in Python and JavaScript
• Assist in building and testing web applications using React.js and Node.js
• Fix bugs and improve existing features under senior guidance
• Participate in daily stand-ups and sprint planning
• Write documentation for new features and APIs

Requirements:
• Bachelor's degree in Computer Science or related field
• Basic understanding of Python, JavaScript, HTML, and CSS
• Familiarity with Git version control
• Ability to work in a team and learn quickly
• Understanding of basic data structures and algorithms

Nice to have: Exposure to SQL, Django or Flask, Linux"
1003,Full Stack Developer,DigitalWave Technologies,INFORMATION-TECHNOLOGY,"DigitalWave Technologies is seeking a Full Stack Developer to build and maintain modern web applications from front-end to back-end.

Responsibilities:
• Develop responsive, performant web interfaces using React.js and TypeScript
• Build scalable backends using Node.js, Express, or Django
• Design and optimize SQL and NoSQL database schemas
• Implement authentication, authorization, and security best practices
• Deploy and monitor applications using Docker and cloud platforms
• Collaborate with UX designers to implement pixel-perfect interfaces

Requirements:
• 3+ years of full stack development experience
• Strong proficiency in JavaScript, TypeScript, HTML, CSS
• Experience with React.js or Angular for front-end development
• Backend experience with Node.js, Python (Django/Flask), or Java (Spring)
• Experience with PostgreSQL, MySQL, or MongoDB
• Familiarity with Git, Docker, and CI/CD workflows
• Knowledge of AWS or Azure cloud services"
2001,Data Engineer,DataStream Analytics,INFORMATION-TECHNOLOGY,"DataStream Analytics is looking for a Data Engineer to build robust data pipelines and infrastructure that power our analytics platform.

Responsibilities:
• Design, build, and maintain scalable ETL/ELT data pipelines
• Work with large-scale data processing using Python and SQL
• Implement data warehousing solutions on cloud platforms (AWS, GCP)
• Ensure data quality, integrity, and availability across systems
• Optimize query performance and database schemas
• Collaborate with data scientists and analysts to understand data needs

Requirements:
• 3+ years of data engineering experience
• Strong SQL skills (PostgreSQL, MySQL, or similar)
• Proficiency in Python with pandas, NumPy, and data processing libraries
• Experience with cloud data services (AWS Redshift, GCP BigQuery, Azure Synapse)
• Knowledge of Apache Spark, Kafka, or Airflow
• Familiarity with Docker and Kubernetes
• Understanding of data modeling and data warehousing concepts

Nice to have: Experience with Terraform, CI/CD, dbt"
2002,Senior Data Engineer,CloudScale Data,INFORMATION-TECHNOLOGY,"Join CloudScale Data as a Senior Data Engineer to architect next-generation data platforms serving millions of records daily.

Responsibilities:
• Architect and implement enterprise-scale data lake and warehouse solutions
• Build real-time streaming pipelines using Kafka and Spark Streaming
• Lead migration of on-premise data systems to cloud-native architectures
• Mentor junior engineers and establish data engineering best practices
• Implement data governance, lineage tracking, and quality monitoring

Requirements:
• 6+ years in data engineering roles
• Expert-level Python and SQL
• Deep experience with AWS (S3, Glue, Redshift, EMR) or GCP (BigQuery, Dataflow)
• Production experience with Apache Spark, Airflow, and Kafka
• Strong understanding of data modeling, star schema, and dimensional modeling
• Experience with Docker, Kubernetes, and Terraform
• Leadership and mentoring experience"
3001,Data Scientist,InsightAI Labs,INFORMATION-TECHNOLOGY,"InsightAI Labs is hiring a Data Scientist to uncover business insights through statistical analysis, machine learning, and data visualization.

Responsibilities:
• Analyze complex datasets to identify trends, patterns, and actionable insights
• Build predictive models using machine learning and statistical techniques
• Create compelling data visualizations using Matplotlib, Seaborn, and Tableau
• Design and run A/B tests and experiments
• Communicate findings to stakeholders through reports and presentations
• Collaborate with engineering teams to deploy models to production

Requirements:
• Master's or PhD in Statistics, Mathematics, Computer Science, or related field
• Strong proficiency in Python (pandas, NumPy, scikit-learn, SciPy)
• Experience with machine learning algorithms: regression, classification, clustering
• Solid foundation in statistics and probability
• Experience with SQL and data analysis tools
• Data visualization skills using Matplotlib, Tableau, or PowerBI
• Excellent analytical and problem-solving skills

Nice to have: Experience with deep learning (TensorFlow, PyTorch), NLP, R"
3002,Senior Data Analyst,MetricsPro Consulting,INFORMATION-TECHNOLOGY,"MetricsPro Consulting needs a Senior Data Analyst to drive data-driven decision making across our client portfolio.

Responsibilities:
• Perform deep-dive analyses on business data to drive strategic decisions
• Build interactive dashboards and reports using Tableau and PowerBI
• Write complex SQL queries to extract and transform data
• Develop automated reporting pipelines using Python
• Present findings and recommendations to C-level executives
• Mentor junior analysts on best practices

Requirements:
• 5+ years of data analysis experience
• Advanced SQL skills
• Proficiency in Python (pandas, NumPy) or R for data analysis
• Expert-level Tableau or PowerBI dashboard development
• Strong knowledge of Excel with pivot tables, VBA, and advanced formulas
• Experience with statistical analysis and hypothesis testing
• Excellent communication and presentation skills"
4001,Machine Learning Engineer,NeuralForge AI,INFORMATION-TECHNOLOGY,"NeuralForge AI is looking for a Machine Learning Engineer to build and deploy ML models that power intelligent products.

Responsibilities:
• Design, train, and evaluate machine learning models for production use
• Build end-to-end ML pipelines from data preprocessing to model deployment
• Implement deep learning architectures using TensorFlow and PyTorch
• Optimize model performance, latency, and resource utilization
• Deploy models using Docker, Kubernetes, and cloud ML services
• Collaborate with data engineers to ensure quality training data

Requirements:
• 3+ years of machine learning engineering experience
• Strong Python programming with scikit-learn, TensorFlow, or PyTorch
• Solid understanding of ML algorithms: deep learning, NLP, computer vision
• Experience with model serving and MLOps (MLflow, Kubeflow, SageMaker)
• Proficiency in pandas, NumPy, and data preprocessing
• Knowledge of Docker, Kubernetes, and CI/CD for ML
• Experience with AWS, GCP, or Azure ML services

Nice to have: Published research, Kaggle competition experience, reinforcement learning"
4002,NLP Engineer,LinguaTech Solutions,INFORMATION-TECHNOLOGY,"LinguaTech Solutions is hiring an NLP Engineer to build state-of-the-art natural language processing systems.

Responsibilities:
• Develop and fine-tune NLP models for text classification, NER, and summarization
• Build text preprocessing and feature engineering pipelines
• Implement transformer-based architectures using PyTorch or TensorFlow
• Evaluate model performance and iterate on improvements
• Deploy NLP services as scalable REST APIs

Requirements:
• 3+ years of NLP experience
• Strong Python programming (pandas, NumPy, scikit-learn)
• Deep expertise in NLP libraries and frameworks
• Experience with deep learning for NLP (transformers, BERT, GPT)
• Knowledge of text preprocessing, tokenization, and embeddings
• Familiarity with spaCy, NLTK, or Hugging Face Transformers
• Experience with SQL and data management
• Understanding of machine learning fundamentals"
4003,AI Research Scientist,DeepMind Innovations,INFORMATION-TECHNOLOGY,"DeepMind Innovations seeks an AI Research Scientist to push the boundaries of artificial intelligence and machine learning.

Responsibilities:
• Conduct original research in machine learning and deep learning
• Develop novel architectures for computer vision and NLP tasks
• Publish findings in top-tier conferences (NeurIPS, ICML, CVPR)
• Prototype research ideas and validate through experiments
• Collaborate with engineering teams to transfer research to products

Requirements:
• PhD in Computer Science, Machine Learning, or related field
• Strong publication record in deep learning, NLP, or computer vision
• Expert-level Python and PyTorch or TensorFlow
• Deep understanding of reinforcement learning, generative models, and optimization
• Experience with large-scale distributed training
• Proficiency in NumPy, SciPy, and scientific computing
• Strong mathematical foundations in linear algebra, calculus, and probability"
5001,DevOps Engineer,InfraCloud Systems,INFORMATION-TECHNOLOGY,"InfraCloud Systems is seeking a DevOps Engineer to build and maintain CI/CD pipelines and cloud infrastructure.

Responsibilities:
• Design and implement CI/CD pipelines for automated testing and deployment
• Manage cloud infrastructure on AWS using Terraform and CloudFormation
• Containerize applications using Docker and orchestrate with Kubernetes
• Implement monitoring, logging, and alerting systems
• Automate operational tasks using Python and Bash scripts
• Ensure system security, reliability, and high availability

Requirements:
• 3+ years of DevOps or SRE experience
• Strong experience with AWS services (EC2, S3, RDS, Lambda, EKS)
• Proficiency in Docker and Kubernetes
• Infrastructure as Code with Terraform or CloudFormation
• Scripting skills in Python and Bash
• Experience with CI/CD tools (Jenkins, GitLab CI, GitHub Actions)
• Knowledge of Linux system administration
• Familiarity with monitoring tools (Prometheus, Grafana, CloudWatch)"
5002,Cloud Solutions Architect,SkyBridge Technologies,INFORMATION-TECHNOLOGY,"SkyBridge Technologies is hiring a Cloud Solutions Architect to design enterprise-grade cloud architectures.

Responsibilities:
• Design and architect scalable, secure cloud solutions on AWS and Azure
• Lead cloud migration projects from on-premise to cloud-native
• Define cloud governance, security policies, and cost optimization strategies
• Evaluate and recommend cloud services for business requirements
• Create technical documentation and architecture diagrams

Requirements:
• 7+ years of IT experience with 4+ years in cloud architecture
• AWS Solutions Architect Professional or Azure Solutions Architect certification
• Deep knowledge of AWS, Azure, or GCP services
• Experience with Docker, Kubernetes, and serverless architectures
• Strong understanding of networking, security, and compliance
• Experience with Terraform and Infrastructure as Code
• Excellent communication and stakeholder management skills"
6001,Cybersecurity Analyst,SecureNet Corp,INFORMATION-TECHNOLOGY,"SecureNet Corp is hiring a Cybersecurity Analyst to protect our organization's digital assets and infrastructure.

Responsibilities:
• Monitor security systems and analyze threat intelligence
• Conduct vulnerability assessments and penetration testing
• Investigate security incidents and perform forensic analysis
• Implement and manage firewall, IDS/IPS, and SIEM solutions
• Develop security policies and incident response procedures
• Conduct security awareness training for employees

Requirements:
• 3+ years of cybersecurity experience
• Knowledge of network security, firewalls, and encryption
• Experience with SIEM tools and log analysis
• Scripting skills in Python and Bash for automation
• Understanding of OWASP Top 10 and common vulnerabilities
• Familiarity with Linux system administration
• Relevant certifications (CEH, CISSP, CompTIA Security+) preferred"
7001,Android Developer,AppForge Studios,INFORMATION-TECHNOLOGY,"AppForge Studios is looking for an Android Developer to build world-class mobile applications.

Responsibilities:
• Design and develop Android applications using Kotlin and Java
• Implement modern UI patterns with Jetpack Compose
• Integrate RESTful APIs and third-party SDKs
• Write unit tests and ensure app quality and performance
• Publish and maintain apps on the Google Play Store
• Collaborate with iOS team to ensure consistent cross-platform experience

Requirements:
• 3+ years of Android development experience
• Proficiency in Kotlin and Java
• Experience with Android SDK, Jetpack libraries, and Material Design
• Understanding of MVVM/MVP architecture patterns
• Experience with Git version control
• Knowledge of SQL databases and data persistence
• Familiarity with Firebase and cloud services"
7002,iOS Developer,AppForge Studios,INFORMATION-TECHNOLOGY,"We are hiring an iOS Developer to create beautiful, performant mobile applications for the Apple ecosystem.

Responsibilities:
• Develop iOS applications using Swift and SwiftUI
• Implement complex UI designs with smooth animations
• Integrate RESTful APIs and manage local data persistence
• Write comprehensive unit and UI tests
• Optimize app performance, memory usage, and battery consumption

Requirements:
• 3+ years of iOS development experience
• Strong proficiency in Swift
• Experience with SwiftUI and UIKit frameworks
• Understanding of MVC, MVVM, and clean architecture patterns
• Experience with Core Data, Realm, or similar persistence frameworks
• Knowledge of Git, CI/CD, and Agile methodologies
• App Store submission and release management experience"
8001,Frontend Developer,PixelPerfect Design,INFORMATION-TECHNOLOGY,"PixelPerfect Design is looking for a Frontend Developer who is passionate about creating beautiful, accessible web experiences.

Responsibilities:
• Build responsive, performant web interfaces using React.js and TypeScript
• Implement pixel-perfect designs from Figma mockups
• Write clean, reusable, and well-tested component code
• Optimize web performance (Core Web Vitals, lazy loading, code splitting)
• Ensure cross-browser compatibility and accessibility (WCAG)
• Collaborate with backend developers on API integration

Requirements:
• 3+ years of frontend development experience
• Expert-level JavaScript, TypeScript, HTML, and CSS
• Strong experience with React.js and state management (Redux, Zustand)
• Understanding of responsive design and mobile-first development
• Experience with Git, npm/yarn, and modern build tools
• Knowledge of web accessibility standards
• Familiarity with REST APIs and GraphQL"
